network,node,tier,truth,surrogate,tabular_gbt,tabular_gbt_l1,tabular_ridge,topology_heuristic,sole_source_reach,downstream_reach
shift_4,43,3,0,0.0300514,0,0,0.00887588,2.52103,1,4
shift_4,44,3,0,0.0300534,0,0,0.0099663,2.21413,1,4
shift_4,45,3,0.743044,0.0523145,0,0,0.0251622,3.25143,3,7
shift_5,0,0,0,0.0299806,0,0,0.0905936,2.49956,0,8
shift_5,1,0,0,0.0299806,0,0,0.0568414,2.12538,0,8
shift_5,2,0,0.0333455,0.0299806,0.188364,0,0.0665404,2.04156,0,8
shift_5,3,0,0,0.0299806,0.196537,0,0.074754,2.33159,0,8
shift_5,4,0,0,0.0299806,0,0,0,0.20402,0,0
shift_5,5,0,0,0.0299806,0,0,0.0125421,2.02022,0,8
shift_5,6,0,0,0.0299806,0,0,0.00518706,1.93352,0,8
shift_5,7,0,0,0.0299806,0,0,0,1.15324,0,8
shift_5,8,0,0,0.0299806,0.188364,0,0.0376853,1.95292,0,8
shift_5,9,0,0,0.0299806,0,0,0,0.20402,0,0
shift_5,10,0,0.042253,0.0299806,0,0,0.106259,5.16949,2,8
shift_5,11,0,0,0.0299806,0.0179146,0,0.0737877,2.25209,0,8
shift_5,12,0,0,0.0299806,0,0,0.0357038,1.91786,0,8
shift_5,13,0,0,0.0299806,0,0,0.0304306,1.98942,0,8
shift_5,14,0,0.0606384,0.0299806,0,0,0.101899,2.2051,0,8
shift_5,15,0,0.668567,0.0299806,0,0,0.110823,4.89943,2,8
shift_5,16,1,0.0776965,0.0299806,0,0,0.0883957,4.25104,2,8
shift_5,17,1,0,0.0299806,0,0,0.0458685,2.19577,0,8
shift_5,18,1,0.0521463,0.0299807,0.186619,0,0.0446368,2.09152,0,8
shift_5,19,1,0,0.0299806,0,0,0.0162709,2.32032,0,8
shift_5,20,1,0.748137,0.0299806,0,0,0.0831821,5.30043,2,8
shift_5,21,1,0,0.0299807,0,0,0.0358074,1.85112,0,8
shift_5,22,1,0,0.0299806,0,0,0.0487653,1.94314,0,8
shift_5,23,1,0,0.0299806,0,0,0,1.31187,0,7
shift_5,24,1,0,0.0299806,0.189456,0,0.00102724,1.35094,0,8
